Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,23.006042,23.066465,22.885197,22.945620,9.287792,43699017
2012-01-04,23.096678,23.172205,22.922960,22.983383,9.303078,49271204
2012-01-05,23.028702,23.036255,22.794561,22.960726,9.293904,45621068
2012-01-06,22.711479,22.726585,22.356495,22.416918,9.251066,60348979
2012-01-09,22.515106,22.545317,22.280968,22.401814,9.244832,35470092
2012-01-10,22.507553,22.598186,22.462236,22.477341,9.276000,38481001
2012-01-11,22.454683,22.681269,22.454683,22.651056,9.347688,31379594
2012-01-12,22.719032,22.847431,22.666162,22.749245,9.388212,35100696
2012-01-13,22.696375,22.734138,22.515106,22.711479,9.372622,29256163
2012-01-17,22.885197,23.013596,22.787008,22.847431,9.428729,31114265
2012-01-18,22.900303,22.922960,22.771902,22.907854,9.453666,29147860
2012-01-19,22.900303,22.998489,22.885197,22.975830,9.481721,33793776
2012-01-20,22.975830,23.051359,22.922960,23.043806,9.509772,35013312
2012-01-23,23.043806,23.081572,22.854984,22.960726,9.475485,25402661
2012-01-24,22.809668,22.809668,22.598186,22.726585,9.378859,32227616
2012-01-25,22.703926,22.839878,22.439577,22.817221,9.416262,37253123
2012-01-26,22.583082,22.643505,22.190332,22.243202,9.179375,74148237
2012-01-27,22.273415,22.303625,22.016617,22.024170,9.088987,48138654
2012-01-30,21.993958,22.190332,21.918428,22.160122,9.145089,38969822
2012-01-31,22.311178,22.311178,22.077040,22.212992,9.166910,38887469
2012-02-01,22.590633,22.605740,22.341391,22.356495,9.226130,40535319
2012-02-02,22.560423,22.590633,22.447130,22.500000,9.285354,34024284
2012-02-03,22.635952,22.711479,22.552870,22.620846,9.335222,34813786
2012-02-06,22.530210,22.643505,22.424471,22.635952,9.341455,31203105
2012-02-07,22.545317,22.771902,22.507553,22.688822,9.363275,32015114
2012-02-08,22.688822,22.771902,22.673716,22.673716,9.357039,26632525
2012-02-09,22.703926,22.703926,22.567976,22.651056,9.347688,23929844
2012-02-10,22.522659,22.635952,22.432024,22.537764,9.300939,33100265
2012-02-13,22.598186,22.749245,22.590633,22.688822,9.363275,30508535
2012-02-14,22.749245,22.771902,22.545317,22.711479,9.372622,28635869
2012-02-15,22.643505,22.711479,22.484894,22.560423,9.310286,30492117
2012-02-16,22.583082,22.794561,22.545317,22.673716,9.357039,31175831
2012-02-17,22.764351,22.771902,22.658609,22.666162,9.353928,41467680
2012-02-21,22.734138,22.960726,22.711479,22.915407,9.456782,33614771
2012-02-22,22.847431,22.938066,22.809668,22.870090,9.438080,20829036
2012-02-23,22.824774,23.021149,22.824774,23.006042,9.494185,29748824
2012-02-24,22.983383,23.028702,22.877644,22.915407,9.456782,24194379
2012-02-27,22.892750,22.983383,22.877644,22.930513,9.463020,40556636
2012-02-28,22.968279,23.104231,22.930513,23.058912,9.516004,26874552
2012-02-29,23.028702,23.141994,23.013596,23.104231,9.534707,35125323
2012-03-01,23.066465,23.157101,22.990936,23.134441,9.547174,28574568
2012-03-02,23.164654,23.413897,23.111782,23.315710,9.621984,31170138
2012-03-05,23.300604,23.504532,23.225077,23.406343,9.659384,51997717
2012-03-06,23.262840,23.391239,23.157101,23.209970,9.578344,33692755
2012-03-07,23.179758,23.391239,23.179758,23.323263,9.625097,21902270
2012-03-08,23.466766,23.527189,23.323263,23.413897,9.662500,24819174
2012-03-09,23.413897,23.549849,23.413897,23.549849,9.718607,25423448
2012-03-12,23.564955,23.806646,23.549849,23.746223,9.799648,27235739
2012-03-13,23.806646,23.897282,23.746223,23.889729,9.858870,31464330
2012-03-14,23.867069,24.018127,23.731117,23.753777,9.802762,32445944
2012-03-15,23.723564,23.904835,23.678247,23.897282,9.861983,26484237
2012-03-16,23.942598,23.950151,23.799093,23.859516,9.846402,37954181
2012-03-19,23.761330,23.972811,23.678247,23.904835,9.865105,26143704
2012-03-20,23.867069,24.040785,23.799093,24.010574,9.908737,24010872
2012-03-21,24.055891,24.146526,24.040785,24.048338,9.924321,27916937
2012-03-22,24.018127,24.063444,23.836859,23.950151,9.883804,106260930
2012-03-23,23.912388,23.957705,23.700907,23.806646,9.824584,102966288
2012-03-26,23.874622,24.040785,23.859516,24.010574,9.908737,100051635
2012-03-27,24.010574,24.131420,23.867069,23.897282,9.861983,36945955
2012-03-28,23.814199,23.844412,23.564955,23.685801,9.774709,41556653
2012-03-29,23.451662,23.572508,23.240181,23.572508,9.727957,38019322
2012-03-30,23.655588,23.700907,23.534742,23.587612,9.734191,28791307
2012-04-02,23.625378,23.859516,23.617825,23.753777,9.802762,28726563
2012-04-03,23.738670,23.867069,23.663141,23.738670,9.796532,29136474
2012-04-04,23.700907,23.912388,23.700907,23.844412,9.840167,35226212
2012-04-05,23.481873,23.534742,23.225077,23.368580,9.825100,28431046
2012-04-09,23.164654,23.300604,23.074018,23.141994,9.729836,25451649
2012-04-10,23.051359,23.126888,22.620846,22.756798,9.567884,46030978
2012-04-11,22.953173,23.043806,22.862537,22.998489,9.669499,28589926
2012-04-12,23.255287,23.323263,23.172205,23.293051,9.793344,26054864
2012-04-13,23.225077,23.308157,23.051359,23.066465,9.698083,33139058
2012-04-16,23.081572,23.202417,23.036255,23.119335,9.720306,19510464
2012-04-17,23.240181,23.376133,23.164654,23.330816,9.809222,28736758
2012-04-18,23.225077,23.300604,23.157101,23.225077,9.764767,17028096
2012-04-19,23.255287,23.323263,23.111782,23.217524,9.761588,22168791
2012-04-20,23.217524,23.481873,23.187311,23.308157,9.799695,29220415
2012-04-23,23.315710,23.338369,23.119335,23.119335,9.720306,36186244
2012-04-24,23.580059,24.108761,23.512085,23.957705,10.072790,68722220
2012-04-25,23.987915,24.146526,23.957705,23.972811,10.079144,37678922
2012-04-26,24.010574,24.569487,24.003021,24.501511,10.301433,46000924
2012-04-27,24.524170,24.735649,24.509064,24.675226,10.374467,31908400
2012-04-30,24.569487,24.886707,24.561934,24.856495,10.450682,35286454
2012-05-01,24.871601,25.173716,24.871601,24.969790,10.498311,37497534
2012-05-02,24.954683,25.052870,24.811178,24.954683,10.491965,36978393
2012-05-03,24.788521,25.037764,24.743202,25.007553,10.514191,32713657
2012-05-04,24.954683,25.007553,24.788521,24.818731,10.434804,25303361
2012-05-07,24.539274,24.992447,24.524170,24.924471,10.479262,34121069
2012-05-08,24.780968,25.075529,24.773415,24.954683,10.491965,35298237
2012-05-09,24.826284,24.947130,24.705439,24.780968,10.418924,28592045
2012-05-10,24.977341,25.113293,24.879154,25.022659,10.520544,31629168
2012-05-11,25.211479,25.619335,25.181269,25.370090,10.666618,55588140
2012-05-14,25.241692,25.347431,24.962236,25.324774,10.647566,39728474
2012-05-15,25.158609,25.377644,25.113293,25.188822,10.590405,37104306
2012-05-16,25.279455,25.339878,25.052870,25.067976,10.539597,29845343
2012-05-17,25.052870,25.317221,25.007553,25.143505,10.571348,30980541
2012-05-18,25.234138,25.536255,25.226585,25.422960,10.688845,51472883
2012-05-21,25.460726,25.634441,25.347431,25.400303,10.679323,32660167
2012-05-22,25.347431,25.536255,25.256798,25.332327,10.650739,37108145
2012-05-23,25.181269,25.415407,24.984894,25.196375,10.593581,34060165
2012-05-24,25.211479,25.453173,25.196375,25.407854,10.682492,31885362
2012-05-25,25.422960,25.566465,25.317221,25.445620,10.698371,29504148
2012-05-29,25.596678,25.664654,25.453173,25.634441,10.777762,30334296
2012-05-30,25.468279,25.762840,25.453173,25.558912,10.746009,39932899
2012-05-31,25.543806,25.989426,25.521149,25.808157,10.850799,42710916
2012-06-01,25.755287,25.838369,25.513596,25.604231,10.765058,38517543
2012-06-04,25.611782,25.883686,25.566465,25.793051,10.844448,35351330
2012-06-05,25.747734,25.876133,25.641994,25.725077,10.815867,32338568
2012-06-06,25.823263,26.102718,25.717524,26.102718,10.974646,36714255
2012-06-07,26.223564,26.238670,25.800604,25.800604,10.847625,56160902
2012-06-08,25.777946,26.178247,25.762840,26.095165,10.971468,37018246
2012-06-11,26.223564,26.435045,26.102718,26.125378,10.984169,34678208
2012-06-12,26.155588,26.427492,25.996979,26.419941,11.108015,36824280
2012-06-13,26.389729,26.480364,26.223564,26.419941,11.108015,35146904
2012-06-14,26.374622,27.129910,26.344412,26.956194,11.333478,41854553
2012-06-15,27.137463,27.190332,26.895769,26.971298,11.339827,55059599
2012-06-18,26.933535,27.175226,26.888218,26.910875,11.314426,29958413
2012-06-19,27.024170,27.039274,26.578550,26.790030,11.263618,35534704
2012-06-20,26.722054,26.910875,26.586103,26.744713,11.244571,30919504
2012-06-21,26.767372,26.925982,26.419941,26.457705,11.123897,37606896
2012-06-22,26.593657,26.684290,26.427492,26.563444,11.168353,115368594
2012-06-25,26.404835,26.472811,26.261330,26.397282,11.098490,116229988
2012-06-26,26.382175,26.525681,26.321753,26.419941,11.108015,27126642
2012-06-27,26.472811,26.646526,26.450151,26.578550,11.174703,21429072
2012-06-28,26.457705,26.737160,26.397282,26.729607,11.238216,28368818
2012-06-29,26.963745,26.986404,26.767372,26.933535,11.323954,40327451
2012-07-02,26.963745,27.341391,26.918428,27.341391,11.495433,32837318
2012-07-03,27.348944,27.348944,27.031721,27.190332,11.431920,20495255
2012-07-05,27.160122,27.167673,26.835346,27.016617,11.358889,30209973
2012-07-06,26.465258,26.812689,26.359516,26.767372,11.440415,29193670
2012-07-09,26.722054,26.842899,26.608761,26.842899,11.472693,23056136
2012-07-10,26.963745,26.986404,26.729607,26.767372,11.440415,28607536
2012-07-11,26.752266,26.797583,26.510574,26.631420,11.382307,27386543
2012-07-12,26.465258,26.510574,26.170694,26.336859,11.256413,31966126
2012-07-13,26.382175,26.699396,26.321753,26.699396,11.411361,25407692
2012-07-16,26.601208,26.858006,26.578550,26.752266,11.433956,23423281
2012-07-17,26.691843,27.114803,26.623867,27.054380,11.563082,28238802
2012-07-18,26.993958,27.333838,26.910875,27.333838,11.682524,33695668
2012-07-19,27.077040,27.092146,26.586103,26.797583,11.453324,40182738
2012-07-20,26.691843,26.812689,26.510574,26.654079,11.391993,35320745
2012-07-23,26.435045,26.812689,26.351965,26.722054,11.421043,36082575
2012-07-24,26.782476,26.925982,25.861027,26.155588,11.178934,51145723
2012-07-25,26.314199,26.827795,26.231117,26.684290,11.404904,42284191
2012-07-26,27.069487,27.515106,27.061934,27.416918,11.718031,46010589
2012-07-27,27.545317,28.209970,27.522659,28.051359,11.989189,60338520
2012-07-30,28.006042,28.466766,27.968279,28.270393,12.082805,32957405
2012-07-31,28.172205,28.783989,28.172205,28.640484,12.240981,48580605
2012-08-01,28.806646,28.912388,28.429003,28.429003,12.150596,37076766
2012-08-02,28.338369,28.519636,28.194864,28.353474,12.118317,32646662
2012-08-03,28.602718,28.700907,28.300604,28.383686,12.131232,32162608
2012-08-06,28.383686,28.678247,28.376133,28.406343,12.140909,21663950
2012-08-07,28.489426,28.549849,28.255287,28.277946,12.086036,28822818
2012-08-08,28.194864,28.330816,27.968279,28.270393,12.082805,29719563
2012-08-09,28.187311,28.240181,27.983383,28.119335,12.018242,28015443
2012-08-10,28.081572,28.323263,27.975830,28.315710,12.102176,21964498
2012-08-13,28.255287,28.330816,28.187311,28.240181,12.069894,17367570
2012-08-14,28.277946,28.338369,28.074018,28.134441,12.024702,26845027
2012-08-15,28.028702,28.149548,27.922960,28.021149,11.976275,27865301
2012-08-16,28.006042,28.187311,27.666162,28.126888,12.021472,30598170
2012-08-17,28.021149,28.149548,27.998489,28.074018,11.998875,23599638
2012-08-20,27.968279,27.975830,27.802114,27.862537,11.908488,33479723
2012-08-21,27.839878,27.862537,27.620846,27.635952,11.811646,32967600
2012-08-22,27.598186,27.741692,27.530210,27.613293,11.801958,28702599
