maxiter,method,order,out_of_sample_size,scoring,scoring_args,seasonal_order,start_params,suppress_warnings,trend,with_intercept
50,lbfgs,"(2, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(5, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(4, 0, 5)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(3, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(4, 0, 4)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(2, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(3, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(1, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(3, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(2, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(2, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(1, 0, 0)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(4, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(5, 0, 5)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(4, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(1, 0, 0)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(2, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(4, 0, 4)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(1, 0, 0)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(2, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(2, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(2, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(4, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(3, 0, 4)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(0, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(2, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,False
50,lbfgs,"(5, 0, 2)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(3, 0, 3)",0,mse,{},"(0, 0, 0, 0)",,True,,True
50,lbfgs,"(1, 0, 1)",0,mse,{},"(0, 0, 0, 0)",,True,,True
