,mu,omega,alpha[1],beta[1]
CSCO,0.08735190788144943,0.1984067949273991,0.12183684484166848,0.8040127683434446
BA,0.10272167364802158,0.08865835011927273,0.08847351190263693,0.885938344336703
V,0.11883124987020073,0.10100851841189888,0.1266504957605087,0.8307647952484843
MRK,0.07826528048860502,0.20424025492169218,0.1284587848190572,0.7526584172528812
PG,0.059538279756326674,0.12581689971489354,0.16129174487104467,0.7213707142210899
CAT,0.07334889499129836,0.09839774941155471,0.07191026994237776,0.895082279524019
MCD,0.08375031674347477,0.13927168979951243,0.14612540020457274,0.7371965116253788
AMZN,0.16844546681197045,0.44064543988804794,0.1481178053778093,0.7450640223605709
INTC,0.0512134080066303,0.028900804593650842,0.025728129724595233,0.9652570863480141
MMM,0.06098696143849123,0.010803512244158282,0.02617739197507129,0.9673862857423623
KO,0.04735987483327645,0.022119029565235752,0.047815507693977445,0.9319138133336654
MSFT,0.15103527152769008,0.3038026523280173,0.18777830098608136,0.6973179167375216
HD,0.12100765361018394,0.1321250396590686,0.12328289793480575,0.7935402162761995
AXP,0.11849951866193595,0.05988586106538805,0.10065198579924026,0.8833022718302452
CVX,0.04259429811117021,0.04474291586715699,0.09185897818975794,0.8892999370453023
NKE,0.12487685513146106,0.8313779786980471,0.20974686047305244,0.483587032352233
IBM,0.018297449222423462,0.21660885641305533,0.11467722116867303,0.7766737846411693
GS,0.08555060264403942,0.0810906177784792,0.07773355328286309,0.8918972231111031
DIS,0.05965771029393095,0.05156065524066542,0.06220472610062579,0.9157723997612924
JPM,0.12285486475912558,0.16163232137533612,0.1398772845092974,0.791548390257263
VZ,0.036265587768022106,0.10692894682229458,0.10134212310298525,0.8054278184694519
AMGN,0.08569628292112533,0.14231814317322816,0.07952139017312206,0.8607895918078717
UNH,0.13296821892370894,0.07920050175808271,0.07747827252296127,0.8864372965810579
HON,0.08443799055676932,0.06427587835282465,0.10412480002053454,0.8565312969435991
AAPL,0.18679119586266082,0.188234141587987,0.1244426016106717,0.8189091278779498
WMT,0.06608606192923215,0.4368005647602032,0.274763376293949,0.45593077082981304
TRV,0.05438450168402718,0.10793822246654232,0.13191671113612996,0.7988584894146529
JNJ,0.05587140367372938,0.03747345039209138,0.08734380919456963,0.8789559314269154
CRM,0.12426113183397955,0.3312373406983957,0.20327876157508318,0.7503662052575331
